close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
103868.01,104763.99,103516.98,104897.97013756933,104763.99,105075.334,105493.14462466956,105710.28300000001,106436.60549999999,104384.73356693408,108488.4774330659
103572.17,104125.18,103276.0,104456.03675837955,103868.0,104569.982,105143.87651109326,105419.91100000001,106249.9125,103876.80200337892,108623.02299662109
103794.65,104000.21,103137.82,104235.57450558637,103572.16,104262.344,104898.5625999854,105126.07800000001,106079.1615,103513.21383701268,108645.10916298733
104250.75,104317.82,103702.32,104240.63300372426,103794.65,104049.912,104780.77849089714,104909.999,105951.28349999999,103285.36643198624,108617.20056801374
103805.43,104378.92,103729.18,104095.56533581618,104250.75,103858.20199999999,104603.44240164311,104693.34099999999,105784.7545,103016.31344823958,108553.19555176041
104047.99,104435.0,103804.66,104079.70689054413,103805.42,103894.198,104502.45105588982,104484.766,105622.23299999998,102846.31529515206,108398.1507048479
104531.03,104659.25,103984.0,104230.14792702942,104047.99,104085.97,104507.6472275462,104327.976,105435.86499999999,102916.51231060164,107955.21768939834
105028.33,105033.33,104500.0,104496.20861801962,104531.03,104332.706,104602.31682253779,104297.525,105363.35800000001,102887.24816212851,107839.4678378715
104920.01,105350.0,104687.44,104637.47574534643,105028.33,104466.55799999999,104660.07921843999,104258.235,105255.57250000001,102909.02568825732,107602.1193117427
104580.58,105271.8,104532.01,104618.51049689762,104920.02,104621.588,104645.62481508726,104239.89499999999,105109.28300000001,103000.83621091473,107217.7297890853
104019.93,104860.66,103855.07,104418.98366459842,104580.57,104615.976,104531.86212143503,104255.08699999998,104982.68500000001,102935.79332433797,107029.57667566206
104428.54,104569.41,103650.0,104422.16910973229,104019.94,104595.47799999999,104513.07628117412,104340.724,104880.3175,102946.17987444045,106814.45512555956
104199.62,104474.14,103380.43,104347.98607315487,104428.54,104429.73599999999,104456.08423005154,104381.22099999999,104753.6495,103007.71800152498,106499.58099847502
104656.18,104819.83,103876.0,104450.71738210325,104199.63,104376.97,104492.46527913307,104421.764,104665.88149999999,103104.09104674283,106227.67195325714
104808.99,104999.98,104150.01,104570.14158806884,104656.18,104422.652,104550.01522838161,104522.12,104607.7305,103168.94246084346,106046.51853915655
102817.82,104805.44,102817.82,103986.0343920459,104805.44,104182.23000000001,104235.07064140313,104399.10299999999,104441.9345,102979.54023504704,105904.32876495297
100846.67,102997.77,100303.72,102939.57959469728,102817.82,103465.856,103618.99779751165,104030.667,104179.32149999999,102181.46387550347,106177.17912449651
101010.55,101745.45,100481.81,102296.5697297982,100846.68,102828.042,103144.73456160043,103628.889,103963.20700000001,101590.74591878099,106335.66808121903
101152.45,101560.89,100648.99,101915.19648653214,101010.54,102127.296,102782.5010049458,103252.133,103755.184,101161.71445360873,106348.65354639126
100204.01,101203.45,100000.0,101344.80099102142,101152.45,101206.3,102313.68445859202,102814.476,103527.18549999999,100535.88578400275,106518.48521599724
100831.16,100986.09,100128.0,101173.58732734763,100204.01,100808.96800000001,102044.13455702983,102495.599,103375.343,100157.18168391577,106593.50431608422
99768.97,100903.28,99605.98,100705.3815515651,100831.17,100593.428,101630.4682739335,102029.642,103185.18299999999,99588.76257048166,106781.60342951832
100534.56,100534.56,98802.0,100648.44103437674,99768.97,100498.23000000001,101431.2122241274,101663.136,103022.1785,99250.80202431385,106793.55497568614
101193.15,101310.25,100456.0,100830.01068958451,100534.56,100506.37,101387.92818337696,101316.833,102869.29849999999,99059.91689770189,106678.6801022981
100671.62,101228.31,100629.99,100777.21379305635,101193.15,100599.89199999999,101257.69033185387,100903.09599999999,102712.608,98808.72318019564,106616.49281980435
