open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
3358.93,3368.45,3347.56,3361.84,19027.2155,63929125.397709,68575,9519.3592,31989580.595534,3358.005,2.9100000000003092
3361.83,3365.04,3327.2,3328.67,15740.6939,52724812.194734,84532,6108.8579,20469743.33063,3346.12,-33.159999999999854
3328.68,3345.0,3315.59,3340.6,13851.1532,46104905.136288,111799,6622.6279,22050137.525705,3330.295,11.920000000000073
3340.6,3349.51,3332.8,3343.24,6023.8241,20136451.790365,54561,2978.663,9957287.251932,3341.155,2.6399999999998727
3343.23,3347.3,3332.5,3340.18,5746.8545,19198641.227473,57516,2691.3174,8990887.267663,3339.9,-3.050000000000182
3340.19,3354.04,3330.5,3333.7,5880.076,19653952.764062,41634,3149.0543,10533916.850554,3342.27,-6.4900000000002365
3333.71,3348.19,3328.77,3344.32,3756.6715,12552054.034479,60652,2063.9779,6896493.625745,3338.48,10.610000000000127
3344.33,3363.42,3339.85,3353.46,9038.6361,30311229.629719,74903,4546.7747,15247112.407294,3351.635,9.13000000000011
3353.48,3361.41,3350.05,3353.64,6179.2006,20737322.055577,54622,2934.3479,9847778.995737,3355.73,0.15999999999985448
3353.64,3410.0,3352.79,3380.14,19313.2408,65377884.084804,144049,10354.4016,35041213.342858,3381.395,26.5
3380.13,3394.4,3378.01,3389.23,9646.6858,32686251.915651,80635,5513.7737,18684360.592145,3386.205,9.099999999999909
3389.22,3399.66,3379.57,3394.95,9910.9878,33616322.20333,62504,4715.7966,15995740.5131,3389.615,5.730000000000018
3394.96,3399.99,3389.76,3394.73,5666.4101,19238495.521251,35627,2552.9857,8668557.010855,3394.875,-0.2300000000000182
3394.74,3414.01,3393.15,3393.16,15263.7557,51962935.736918,61847,7360.7095,25056489.39712,3403.58,-1.5799999999999272
3393.15,3442.0,3393.12,3428.37,22501.4807,77041631.087163,113973,12279.9787,42045949.400457,3417.56,35.2199999999998
3428.37,3451.0,3420.0,3426.75,32763.6388,112504001.973821,152093,16061.5221,55170065.284471,3435.5,-1.6199999999998909
3426.75,3434.0,3404.66,3412.85,24795.1411,84771777.774829,117638,8907.1724,30458892.947645,3419.33,-13.900000000000091
3412.86,3416.35,3390.29,3408.62,19369.9867,66001452.953681,111663,9862.6137,33608485.438145,3403.3199999999997,-4.2400000000002365
3408.63,3410.66,3330.0,3363.42,28059.3213,94285327.973791,184053,12486.8003,41932437.622649,3370.33,-45.210000000000036
3363.42,3373.18,3350.22,3361.37,12628.021,42456750.243143,108377,5800.4471,19502277.053651,3361.7,-2.050000000000182
3361.36,3368.25,3343.77,3355.38,5911.0961,19845910.155019,61336,2991.8106,10044868.242696,3356.01,-5.980000000000018
3355.37,3364.64,3337.44,3346.2,8087.2671,27088265.963649,84017,3866.5364,12957204.510037,3351.04,-9.170000000000073
3346.2,3354.44,3332.0,3352.75,7845.7308,26232990.29219,66398,4191.4394,14016215.370741,3343.2200000000003,6.550000000000182
